iter	MultiClass
0	3.028139105
1	2.965955942
2	2.907456492
3	2.85439293
4	2.805032786
5	2.764141496
6	2.709770356
7	2.661994219
8	2.62689237
9	2.583892764
10	2.547068105
11	2.511497432
12	2.468100994
13	2.420501618
14	2.383211934
15	2.342507737
16	2.301228583
17	2.263439544
18	2.229650421
19	2.193368716
20	2.161753918
21	2.131041735
22	2.101266875
23	2.068997913
24	2.037057526
25	2.007625918
26	1.980179463
27	1.953017932
28	1.924092774
29	1.896196184
30	1.872274909
31	1.849500934
32	1.825511067
33	1.800840214
34	1.777804361
35	1.755055262
36	1.731674164
37	1.709940579
38	1.687829177
39	1.667160028
40	1.645662786
41	1.628345261
42	1.608460543
43	1.591239694
44	1.572952765
45	1.55202362
46	1.536087756
47	1.51747214
48	1.498279368
49	1.480455059
50	1.462217064
51	1.445510166
52	1.429693847
53	1.413359238
54	1.397447014
55	1.382466477
56	1.366882672
57	1.351866448
58	1.337505837
59	1.323353117
60	1.310647956
61	1.29714651
62	1.285167244
63	1.271964428
64	1.258203804
65	1.24491903
66	1.231689447
67	1.22022767
68	1.208333891
69	1.195385684
70	1.181980234
71	1.170059969
72	1.159635459
73	1.147830612
74	1.135851798
75	1.125912986
76	1.115131131
77	1.103298669
78	1.091871475
79	1.079918405
80	1.069375444
81	1.059356349
82	1.049506429
83	1.039139236
84	1.02952621
85	1.01921102
86	1.009471383
87	0.9999118849
88	0.9903817664
89	0.9816529612
90	0.9724318646
91	0.9638191994
92	0.9541894539
93	0.9443149726
94	0.9357102923
95	0.9275594744
96	0.9199961839
97	0.9122462312
98	0.9044865109
99	0.8959643814
100	0.8872117056
101	0.8802320121
102	0.8720226924
103	0.8648863606
104	0.8570332263
105	0.8494271514
106	0.8416682752
107	0.835169043
108	0.8280499345
109	0.8207701528
110	0.8142089813
111	0.8078299137
112	0.8011786331
113	0.7944813365
114	0.7885715997
115	0.7821580331
116	0.7758735242
117	0.7699287653
118	0.7630210981
119	0.7570300488
120	0.7515928637
121	0.745932821
122	0.7395126914
123	0.7336633038
124	0.7278431669
125	0.721518216
126	0.7160608844
127	0.7103897606
128	0.7054731824
129	0.6997647738
130	0.6947606257
131	0.6890936712
132	0.6839603687
133	0.6791956413
134	0.6744750081
135	0.6702564665
136	0.6652770234
137	0.6599493951
138	0.6552311554
139	0.6502395955
140	0.6450289046
141	0.6400708257
142	0.6351323248
143	0.6306684036
144	0.6258087022
145	0.621345363
146	0.6165418892
147	0.6120717262
148	0.6074678511
149	0.6025910512
150	0.5980510323
151	0.5938151492
152	0.5895962523
153	0.5853928644
154	0.5804171421
155	0.5760131892
156	0.5719958768
157	0.5683656871
158	0.5644856983
159	0.5600679168
160	0.5564137002
161	0.5533347108
162	0.5492456822
163	0.5449553715
164	0.5412999021
165	0.5371681008
166	0.5331426388
167	0.5296970495
168	0.5260776196
169	0.5223200639
170	0.5185227598
171	0.5146748249
172	0.5108555913
173	0.5077416262
174	0.5043120222
175	0.5008952376
176	0.497691575
177	0.494143586
178	0.4910959996
179	0.4878362722
180	0.4845691072
181	0.4815227998
182	0.478334703
183	0.4751368924
184	0.4716301031
185	0.4684307097
186	0.4650812274
187	0.4620403464
188	0.4591544267
189	0.456452262
190	0.453418726
191	0.4502986618
192	0.4473340863
193	0.4445326254
194	0.4418392015
195	0.4393133456
196	0.4363897324
197	0.4336639128
198	0.4311207981
199	0.428697667
