iter	Passed	Remaining
0	198	39599
1	284	28157
2	379	24936
3	467	22885
4	564	22031
5	653	21145
6	742	20471
7	831	19946
8	920	19538
9	1006	19124
10	1093	18790
11	1178	18459
12	1276	18361
13	1371	18221
14	1484	18314
15	1586	18244
16	1675	18039
17	1773	17937
18	1868	17800
19	1962	17663
20	2052	17491
21	2149	17393
22	2245	17278
23	2341	17170
24	2424	16973
25	2513	16822
26	2610	16729
27	2704	16611
28	2793	16470
29	2889	16375
30	2982	16259
31	3078	16162
32	3165	16018
33	3267	15952
34	3362	15849
35	3457	15751
36	3548	15633
37	3642	15529
38	3740	15441
39	3834	15339
40	3924	15217
41	4021	15127
42	4118	15037
43	4206	14914
44	4306	14834
45	4404	14744
46	4498	14644
47	4588	14530
48	4685	14438
49	4786	14360
50	4872	14235
51	4949	14087
52	5042	13986
53	5126	13860
54	5220	13762
55	5316	13669
56	5411	13575
57	5501	13468
58	5592	13365
59	5682	13260
60	5776	13162
61	5866	13058
62	5961	12963
63	6052	12862
64	6148	12769
65	6240	12670
66	6330	12565
67	6411	12445
68	6488	12318
69	6566	12195
70	6653	12089
71	6740	11983
72	6828	11880
73	6921	11785
74	7016	11694
75	7113	11606
76	7205	11510
77	7299	11417
78	7393	11324
79	7493	11239
80	7591	11153
81	7688	11063
82	7776	10962
83	7869	10867
84	7966	10778
85	8055	10678
86	8152	10588
87	8248	10498
88	8348	10411
89	8440	10316
90	8539	10228
91	8630	10131
92	8723	10037
93	8814	9940
94	8912	9850
95	9007	9758
96	9096	9658
97	9192	9567
98	9287	9474
99	9380	9380
100	9475	9288
101	9580	9204
102	9681	9117
103	9774	9022
104	9866	8926
105	9964	8836
106	10064	8747
107	10165	8659
108	10258	8564
109	10357	8474
110	10450	8379
111	10538	8280
112	10636	8189
113	10729	8094
114	10821	7998
115	10912	7901
116	11002	7805
117	11101	7714
118	11193	7618
119	11285	7523
120	11379	7429
121	11466	7331
122	11563	7238
123	11667	7151
124	11761	7057
125	11860	6965
126	11958	6873
127	12057	6782
128	12152	6688
129	12245	6593
130	12336	6497
131	12429	6403
132	12523	6308
133	12609	6210
134	12704	6117
135	12797	6022
136	12892	5928
137	12979	5831
138	13077	5739
139	13165	5642
140	13260	5548
141	13350	5453
142	13449	5360
143	13549	5269
144	13648	5176
145	13748	5085
146	13852	4994
147	13946	4900
148	14037	4804
149	14131	4710
150	14222	4615
151	14316	4521
152	14401	4423
153	14495	4329
154	14591	4236
155	14686	4142
156	14778	4047
157	14876	3954
158	14972	3860
159	15064	3766
160	15157	3671
161	15249	3576
162	15344	3483
163	15432	3387
164	15530	3294
165	15622	3199
166	15717	3105
167	15805	3010
168	15897	2916
169	15994	2822
170	16085	2727
171	16173	2632
172	16279	2540
173	16378	2447
174	16466	2352
175	16566	2259
176	16671	2166
177	16775	2073
178	16874	1979
179	16973	1885
180	17075	1792
181	17177	1698
182	17274	1604
183	17370	1510
184	17472	1416
185	17578	1323
186	17682	1229
187	17777	1134
188	17867	1039
189	17954	944
190	18051	850
191	18139	755
192	18233	661
193	18319	566
194	18414	472
195	18511	377
196	18602	283
197	18697	188
198	18790	94
199	18881	0
