,Bệnh Bạc lá (Bacterial leaf blight),Bệnh Cháy lá ( Leaf scald ),Bệnh Gạch Nâu ( Narrow Brown Spot ),Bệnh Than Vàng ( False Smut ),Bệnh lúa von (lúa đực) (Rice bakanae disease),Bệnh Đạo ôn lá và cổ bông (Rice leaf and neck blast),Bệnh Đốm Nâu ( Brown spot ),Bệnh Đốm Vằn ( Khô vằn ) ( Sheath Blight ),Bọ trĩ ( Thrips ),Healthy,K,N,P,Rầy Nâu (Brown Plant Hopper),Sâu cuốn lá lớn ( Rice skipper),Sâu cuốn lá nhỏ ( Rice leaf folder),Sâu gai ( Hispa ),Sâu năn ( Muỗi hành )(Rice Gall Midge),Sâu đục thân (Rice yellow stem borer),Sâu đục thân (Sọc nâu )( Chilo suppressalis ),Tungro virus
Bệnh Bạc lá (Bacterial leaf blight),442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Cháy lá ( Leaf scald ),0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Gạch Nâu ( Narrow Brown Spot ),0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Than Vàng ( False Smut ),0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh lúa von (lúa đực) (Rice bakanae disease),0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Đạo ôn lá và cổ bông (Rice leaf and neck blast),0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Đốm Nâu ( Brown spot ),0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bệnh Đốm Vằn ( Khô vằn ) ( Sheath Blight ),0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0
Bọ trĩ ( Thrips ),0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
Healthy,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,1,1,98,0,0,0,0,0,0,0,0
Rầy Nâu (Brown Plant Hopper),0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
Sâu cuốn lá lớn ( Rice skipper),0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
Sâu cuốn lá nhỏ ( Rice leaf folder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0
Sâu gai ( Hispa ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0
Sâu năn ( Muỗi hành )(Rice Gall Midge),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0
Sâu đục thân (Rice yellow stem borer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0
Sâu đục thân (Sọc nâu )( Chilo suppressalis ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,221,0
Tungro virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
