Class,Precision,Recall,F1-Score,Support
Bệnh Cháy lá ( Leaf scald ),1.0,1.0,1.0,501
Bệnh Than Vàng ( False Smut ),1.0,1.0,1.0,15
Bệnh Gạch Nâu ( Narrow Brown Spot ),1.0,1.0,1.0,425
Bệnh lúa von (lúa đực) (Rice bakanae disease),1.0,1.0,1.0,15
Bệnh Đạo ôn lá và cổ bông (Rice leaf and neck blast),1.0,1.0,1.0,300
Sâu năn ( Muỗi hành )(Rice Gall Midge),1.0,1.0,1.0,237
Bệnh Đốm Nâu ( Brown spot ),1.0,1.0,1.0,471
Bọ trĩ ( Thrips ),1.0,1.0,1.0,174
Healthy,1.0,1.0,1.0,565
Sâu gai ( Hispa ),1.0,1.0,1.0,439
Sâu cuốn lá nhỏ ( Rice leaf folder),1.0,1.0,1.0,181
Sâu cuốn lá lớn ( Rice skipper),1.0,1.0,1.0,142
Rầy Nâu (Brown Plant Hopper),1.0,1.0,1.0,87
Tungro virus,1.0,1.0,1.0,522
Bệnh Đốm Vằn ( Khô vằn ) ( Sheath Blight ),0.9978947368421053,1.0,0.9989462592202318,474
Bệnh Bạc lá (Bacterial leaf blight),1.0,0.9977426636568849,0.9988700564971752,443
N,0.9924812030075187,1.0,0.9962264150943396,132
K,0.9913793103448276,1.0,0.9956709956709957,115
Sâu đục thân (Sọc nâu )( Chilo suppressalis ),1.0,0.9910313901345291,0.9954954954954955,223
Sâu đục thân (Rice yellow stem borer),0.9855072463768116,1.0,0.9927007299270073,136
P,1.0,0.98,0.98989898989899,100
