Crop,Precision,Recall,F1-Score,Support
mothbeans,0.9090909090909091,1.0,0.9523809523809523,20
lentil,1.0,0.95,0.9743589743589743,20
pigeonpeas,1.0,0.95,0.9743589743589743,20
apple,1.0,1.0,1.0,20
coconut,1.0,1.0,1.0,20
coffee,1.0,1.0,1.0,20
blackgram,1.0,1.0,1.0,20
banana,1.0,1.0,1.0,20
grapes,1.0,1.0,1.0,20
cotton,1.0,1.0,1.0,20
kidneybeans,1.0,1.0,1.0,20
jute,1.0,1.0,1.0,20
maize,1.0,1.0,1.0,20
mango,1.0,1.0,1.0,20
mungbean,1.0,1.0,1.0,20
chickpea,1.0,1.0,1.0,20
muskmelon,1.0,1.0,1.0,20
orange,1.0,1.0,1.0,20
papaya,1.0,1.0,1.0,20
pomegranate,1.0,1.0,1.0,20
rice,1.0,1.0,1.0,20
watermelon,1.0,1.0,1.0,20
