n_estimators,max_depth,min_samples_split,train_score,val_score,time
100,15.0,2,1.0,0.990909090909091,0.1069483757019043
100,15.0,5,1.0,0.990909090909091,0.11917948722839355
100,15.0,10,0.9993506493506493,0.990909090909091,0.11605072021484375
100,20.0,2,1.0,0.990909090909091,0.1154170036315918
100,20.0,5,1.0,0.990909090909091,0.11824536323547363
100,20.0,10,0.9993506493506493,0.990909090909091,0.11551094055175781
100,,2,1.0,0.990909090909091,0.11664295196533203
100,,5,1.0,0.990909090909091,0.14624762535095215
200,15.0,2,1.0,0.990909090909091,0.22014737129211426
200,15.0,5,1.0,0.990909090909091,0.216447114944458
200,15.0,10,0.9993506493506493,0.990909090909091,0.2166898250579834
200,20.0,2,1.0,0.990909090909091,0.21566462516784668
200,20.0,5,1.0,0.990909090909091,0.21651434898376465
200,20.0,10,0.9993506493506493,0.990909090909091,0.21616744995117188
200,,2,1.0,0.990909090909091,0.2098073959350586
200,,5,1.0,0.990909090909091,0.2060389518737793
300,15.0,2,1.0,0.990909090909091,0.27445125579833984
300,15.0,5,1.0,0.990909090909091,0.2653775215148926
300,15.0,10,0.9993506493506493,0.990909090909091,0.2671337127685547
300,20.0,2,1.0,0.990909090909091,0.26830363273620605
300,20.0,5,1.0,0.990909090909091,0.27239084243774414
300,20.0,10,0.9993506493506493,0.990909090909091,0.2798030376434326
300,,2,1.0,0.990909090909091,0.27890443801879883
300,,5,1.0,0.990909090909091,0.2724308967590332
