n_estimators,max_depth,learning_rate,train_score,val_score,time
100,6,0.01,0.9993506493506493,0.990909090909091,0.5371434688568115
100,6,0.1,1.0,0.990909090909091,0.36426877975463867
100,8,0.01,0.9993506493506493,0.990909090909091,0.467022180557251
200,6,0.1,1.0,0.990909090909091,0.5483555793762207
100,8,0.1,1.0,0.990909090909091,0.3642411231994629
100,10,0.01,0.9993506493506493,0.990909090909091,0.445953369140625
100,10,0.1,1.0,0.990909090909091,0.3687155246734619
200,6,0.01,0.9993506493506493,0.990909090909091,0.8675639629364014
200,10,0.1,1.0,0.990909090909091,0.5590682029724121
200,8,0.1,1.0,0.990909090909091,0.5478088855743408
200,8,0.01,0.9993506493506493,0.990909090909091,0.8899016380310059
300,10,0.1,1.0,0.990909090909091,0.7555453777313232
300,10,0.01,1.0,0.990909090909091,1.377920389175415
300,8,0.01,1.0,0.990909090909091,1.3341221809387207
200,10,0.01,0.9993506493506493,0.990909090909091,0.905078649520874
300,6,0.01,1.0,0.990909090909091,1.2725701332092285
300,8,0.1,1.0,0.990909090909091,0.7503705024719238
300,6,0.1,1.0,0.990909090909091,0.725334644317627
100,6,0.3,1.0,0.9863636363636363,0.28159260749816895
100,10,0.3,1.0,0.9863636363636363,0.252377986907959
100,8,0.3,1.0,0.9863636363636363,0.2530784606933594
200,6,0.3,1.0,0.9863636363636363,0.4491081237792969
200,8,0.3,1.0,0.9863636363636363,0.46538543701171875
200,10,0.3,1.0,0.9863636363636363,0.43576645851135254
300,6,0.3,1.0,0.9863636363636363,0.6351230144500732
300,8,0.3,1.0,0.9863636363636363,0.6214404106140137
300,10,0.3,1.0,0.9863636363636363,0.6129295825958252
